"year","flight_first_nest_obs","previous_flight","date_score","colony","colony_old","stage","source","notes"
2018,2018-01-12,,3,broad_river,Broad River,incubating,sfwbr,"standing on completed nests or incubating"
2018,2018-01-12,,3,paurotis_pond,Paurotis Pond,incubating,sfwbr,"standing on completed nests or incubating"
2018,2018-01-12,,3,rodgers_river_bay,Rogers River Bay,incubating,sfwbr,"standing on completed nests or incubating"
2018,2018-01-12,,3,cabbage_bay,Cabbage Bay,paired;  nest starts,sfwbr,"standing on new nests"
2019,2019-01-18,,3.5,cabbage_bay,Cabbage Bay,incubating,UF_flight_sheets,"most of the larger colony sites were active with GREG and WOST nests, feels like season underway for a while. Index was 3.5 so kept for ENP colonies"
2019,2019-01-18,,3.5,broad_river,Broad River,eggs,UF_flight_sheets,"a few WOST nests at the Broad River colony contained one egg  Index was 3.5 so kept for ENP colonies"
2019,2019-01-18,,3.5,tamiami_west,Tamiami West,incubating,UF_flight_sheets,"most of the larger colony sites were active with GREG and WOST nests,  Index was 3.5 so kept for ENP colonies"
2020,2020-03-14,2020-02-16,1,jetport_south,Jetport South,unknown,UF_flight_sheets,"SFWBR says initiated mid march"
2021,2021-03-18,2021-03-03,1,paurotis_pond,Paurotis Pond,incubating,sfwbr,"a few incubating, most on new nests"
2021,2021-02-23,2021-02-03,2,cuthbert_lake,Cuthbert,incubating,sfwbr,"chose midpoint"
2021,2021-01-29,2021-01-07,3,broad_river,Broad River,incubating,sfwbr,"chose midpoint"
2021,2021-01-29,2021-01-07,3,cabbage_bay,Cabbage Bay,incubating,sfwbr,"chose midpoint"
2022,2022-03-22,2022-03-11,1,cuthbert_lake,Cuthbert,incubating,sfwbr,
2022,2022-03-11,2022-03-04,1.5,broad_river,Broad River,incubating,sfwbr,
2022,2022-02-24,,1.5,cabbage_bay,Cabbage Bay,paired,sfwbr,"no nests yet but M cook saw nests 3/11"
2022,2022-02-11,,2,jetport_new,Jetport New,unknown,Mark Cook,"Mark Cook determined this was the first laying colony"
2023,2023-03-13,2023-02-13,1.5,jetport_south,Jetport South,unknown,UF_digital_image_and_obs_counts,"midpoint chosen"
2023,2023-01-20,2023-01-07,2.5,cabbage_bay,Cabbage Bay,paired; nests starts,sfwbr,"not yet incubating, M. Cook saw incubating in a coastal colony 1/20. No idea which one."
2023,2023-01-20,2023-01-07,2.5,broad_river,Broad River,paired; nest starts,sfwbr,"not yet incubating. M. Cook saw incubating in a coastal colony 1/20. No idea which one."
2023,2023-02-03,2023-01-20,2.5,cuthbert_lake,Cuthbert,unknown,sfwbr,
2024,2024-05-16,2024-04-18,0,lox11,Lox11,unknown,UF_digital_image_and_obs_counts,"0 is the lowest"
2024,2024-04-16,2024-03-12,0.5,jetport_south,Jetport South,unknown,UF_digital_image_and_obs_counts,"M cook: late march"
2024,2024-03-04,2024-02-08,2,cuthbert_lake,Cuthbert,incubating,ENP perscom,
2024,2024-03-04,2024-02-08,2,broad_river,Broad River,incubating,ENP perscom,
2024,2024-02-08,,2.5,cabbage_bay,Cabbage Bay,incubating,ENP perscom,"ENP: a couple incubating feb 8th, feb5th lay date at latest"
2025,2025-02-10,,2.5,hidden,Hidden,< 10 nests with eggs,Mark Cook,
2025,2025-02-10,,2.5,jetport,Jetport,<10 nests with eggs,Mark Cook,
2025,2025-02-03,2025-01-27,2.5,cabbage_bay,Cabbage Bay,incubating,ENP perscom,"handful incubating, most paired"
2025,2025-01-24,,3.5,butcher,Clyde Butcher,incubating,Mark Cook,"eggs seens; BCNP. Feb3rd small downy chicks seen by M. cook"
