"year","colony","species","incubation_k","incubation_sumy","incubation_e","incubation_p","incubation_j","incubation_pj","incubation_varp","incubation_varpj","incubation_sdp","incubation_sdpj","nestling_k","nestling_sumy","nestling_e","nestling_p","nestling_j","nestling_pj","nestling_varp","nestling_varpj","nestling_sdp","nestling_sdpj","overall_p","overall_varp","overall_sd"
2011,"vacation","gbhe",6,6,104.5,1,28,1,0,0,,,6,6,183.5,1,60,1,0,0,,,1,0,
2011,"vacation","greg",39,35,773.5,0.994828701,28,0.864873463,6.65101e-06,0.003941053,,,34,32,562.5,0.996444444,21,0.927929311,6.29851e-06,0.002408797,,,0.802541436,0.005204743,
2011,"vacation","smhe",23,18,438,0.988584475,22,0.776789397,2.57653e-05,0.007699454,,,13,13,91.5,1,14,1,0,0,,,0.776789397,0.007699454,
2011,"yonteau","glib",1,1,20.5,1,21,1,0,0,,,1,0,11.5,0.913043478,21,0.148020079,0.00690392,0.080018926,,,0.148020079,0.080018926,
2011,"yonteau","greg",2,2,12,1,28,1,0,0,,,2,2,42,1,21,1,0,0,,,1,0,
2011,"yonteau","lbhe",24,9,313.5,0.95215311,22,0.340055174,0.000145319,0.008971261,,,9,8,122,0.991803279,14,0.891163838,6.66355e-05,0.0105445,,,0.303044873,0.008438671,
2011,"yonteau","sneg",27,12,450,0.966666667,22,0.474338472,7.16049e-05,0.008344716,,,14,13,164,0.993902439,14,0.917936394,3.69535e-05,0.006178027,,,0.435412546,0.008472909,
2011,"yonteau","trhe",43,28,813.5,0.981561156,22,0.664021269,2.22481e-05,0.004927971,,,28,26,384,0.994791667,14,0.929501168,1.34927e-05,0.002308827,,,0.617208545,0.005287026,
2011,"yonteau","whib",60,40,887.5,0.977464789,21,0.619617331,2.48196e-05,0.004398229,,,40,25,494.5,0.96966633,14,0.649699329,5.94814e-05,0.005233802,,,0.402564964,0.003888943,
2012,"6th_bridge","bcnh",2,2,32,1,28,1,0,0,0,0,2,1,39,0.974358974,21,0.579560504,0.000640604,0.099951185,0.02531016,0.316150574,0.579560504,0.099951185,0.316150574
2012,"6th_bridge","greg",12,6,189.5,0.968337731,28,0.406211225,0.000161793,0.022321628,0.012719787,0.149404244,6,3,81.5,0.963190184,21,0.454938832,0.000435029,0.04279949,0.020857346,0.206880376,0.18480126,0.012637486,0.112416575
2012,"6th_bridge","rosp",3,2,45.5,0.978021978,28,0.536736588,0.000472417,0.111549353,0.021735163,0.33399005,2,1,38,0.973684211,21,0.571190106,0.000674297,0.102332744,0.025967221,0.319894896,0.306578629,0.077289684,0.278010222
2012,"6th_bridge","smhe",26,12,363.5,0.961485557,22,0.421444924,0.000101874,0.009473347,0.010093249,0.097331122,12,5,120,0.941666667,14,0.431082869,0.000457755,0.018802515,0.021395201,0.137122264,0.181677687,0.005352583,0.073161347
2012,"6th_bridge","trhe",,,,,,,,,,,5,4,68,0.985294118,14,0.812685404,0.000213083,0.028413012,0.01459735,0.168561597,,,
2012,"6th_bridge","whib",16,15,291.5,0.996569468,21,0.930377353,1.17282e-05,0.004507878,0.003424642,0.067140733,15,4,99,0.888888889,14,0.192249264,0.000997631,0.009146612,0.031585291,0.095637922,0.178864361,0.008125168,0.090139713
2012,"paurotis_pond","wost",34,19,479.5,0.968717414,28,0.410694599,6.31991e-05,0.00890576,0.007949788,0.094370333,31,0,483.5,0.935884178,50,0.036400325,0.000124105,0.00046935,0.011140262,0.021664495,0.014949417,9.51453e-05,0.009754243
2012,"tamiami_west","bcnh",3,3,22,1,28,1,0,0,0,0,3,3,63,1,21,1,0,0,0,0,1,0,0
2012,"tamiami_west","greg",1,1,13,1,28,1,0,0,0,0,1,1,21,1,21,1,0,0,0,0,1,0,0
2012,"tamiami_west","smhe",28,23,411.5,0.987849332,22,0.764179932,2.9169e-05,0.008448434,0.00540083,0.091915365,23,17,201.5,0.970223325,14,0.654943683,0.000143375,0.012805408,0.011973922,0.113160983,0.500494819,0.011104707,0.105378873
2012,"tamiami_west","trhe",,,,,,,,,,,3,3,63,1,21,1,0,0,0,0,,,
2012,"tamiami_west","whib",50,42,790.5,0.989879823,21,0.807666205,1.26727e-05,0.003720542,0.003559872,0.060996243,40,32,512.5,0.984390244,14,0.802310012,2.99826e-05,0.003903691,0.005475639,0.062479525,0.647998682,0.004955916,0.070398265
2012,"tamiami_west","wost",12,11,183,0.994535519,28,0.857765059,2.96974e-05,0.017319298,0.00544953,0.131602804,11,0,252.5,0.956435644,50,0.107841925,0.000165016,0.005244806,0.01284585,0.072421034,0.092503035,0.004151181,0.064429659
2012,"vacation","greg",23,12,303,0.96369637,28,0.355080026,0.000115464,0.012289544,0.010745431,0.110858214,12,11,245.5,0.99592668,21,0.917856329,1.65243e-05,0.00618953,0.004065015,0.078673563,0.325912449,0.011209905,0.105876841
2013,"6th_bridge","greg",32,16,459,0.965141612,28,0.370296101,7.32969e-05,0.008458978,0.008561361,0.091972704,21,14,372.5,0.981208054,21,0.671402862,4.95002e-05,0.010220905,0.007035635,0.101098491,0.248617862,0.005301094,0.072808614
2013,"6th_bridge","rosp",3,3,33.5,1,22,1,0,0,0,0,3,3,63,1,21,1,0,0,0,0,1,0,0
2013,"6th_bridge","smhe",28,14,398,0.964824121,22,0.454840733,8.52727e-05,0.009172291,0.009234322,0.095772076,16,4,151.5,0.920792079,14,0.314964819,0.000481413,0.01104014,0.021941119,0.105072069,0.143258829,0.003295166,0.057403534
2013,"6th_bridge","trhe",,,,,22,,,,,,10,3,124,0.943548387,14,0.443300756,0.000429555,0.018584185,0.02072571,0.136323822,,,
2013,"joule","greg",42,11,298.5,0.896147404,28,0.046411395,0.000311783,0.00065563,0.017657379,0.025605275,13,11,240.5,0.991683992,21,0.839149531,3.42904e-05,0.01082789,0.005855804,0.104057148,0.038946101,0.000485,0.022022711
2013,"joule","sneg",2,2,43,1,28,1,0,0,0,0,2,0,16.5,0.878787879,21,0.066307892,0.006455742,0.016208659,0.080347632,0.12731323,0.066307892,0.016208659,0.12731323
2013,"paurotis_pond","wost",89,46,719.5,0.940236275,28,0.178088581,7.80987e-05,0.002196636,0.008837347,0.046868282,18,17,119.5,0.991631799,55,0.629904163,6.94408e-05,0.08475944,0.008333114,0.291134746,0.112178739,0.003745957,0.061204222
2013,"tamiami_west","bcnh",16,14,67.5,0.97037037,28,0.430775267,0.000425951,0.065811609,0.020638588,0.256537733,25,4,296.5,0.929173693,21,0.213813447,0.000221956,0.005183005,0.014898186,0.071993089,0.092105545,0.004200014,0.064807518
2013,"tamiami_west","greg",10,9,107.5,0.990697674,28,0.769754114,8.57283e-05,0.040575327,0.009258958,0.201433182,17,15,320,0.99375,21,0.876637359,1.94092e-05,0.006660877,0.004405585,0.081614198,0.674795214,0.035398837,0.188145786
2013,"tamiami_west","smhe",15,7,168,0.952380952,22,0.341849871,0.000269949,0.016833597,0.016430132,0.129744352,10,8,113.5,0.982378855,14,0.779661487,0.000152517,0.018829011,0.012349763,0.137218842,0.266527179,0.012750016,0.112915969
2013,"tamiami_west","trhe",,,,,22,,,,,,7,5,78.5,0.974522293,14,0.696762707,0.000316288,0.031690185,0.017784482,0.178017372,,,
2013,"tamiami_west","whib",50,36,353,0.960339943,21,0.427488907,0.000107896,0.009428485,0.010387279,0.097100387,58,21,668.5,0.944652206,14,0.45061662,7.82115e-05,0.003488168,0.008843729,0.059060718,0.192633606,0.002584844,0.05084136
2013,"tamiami_west","wost",30,23,339.5,0.979381443,28,0.558023371,5.94799e-05,0.015138661,0.007712322,0.123039264,29,26,1535,0.998045603,55,0.897989382,1.27073e-06,0.003111873,0.001127269,0.055784166,0.501099062,0.013176594,0.114789347
2015,"alley_north","greg",42,17,618,0.959546926,28,0.31466911,6.28101e-05,0.005295673,0.00792528,0.072771372,16,16,320,1,21,1,0,0,0,0,0.31466911,0.005295673,0.072771372
2015,"alley_north","rosp",6,6,67,1,22,1,0,0,0,0,11,11,231,1,21,1,0,0,0,0,1,0,0
2015,"alley_north","whib",78,41,894,0.958612975,22,0.394595991,4.43782e-05,0.003639436,0.006661699,0.060327738,64,64,147,1,14,1,0,0,0,0,0.394595991,0.003639436,0.060327738
2015,"cuthbert_lake","greg",53,51,1084,0.998154982,28,0.94960589,1.69891e-06,0.001205525,0.001303421,0.034720675,51,48,1022.5,0.997066015,21,0.940160893,2.861e-06,0.001121795,0.00169145,0.033493215,0.892782322,0.0020785,0.045590566
2015,"jerrod","greg",20,16,326,0.987730061,28,0.707736519,3.7176e-05,0.014963934,0.006097215,0.122327161,15,15,315,1,21,1,0,0,0,0,0.707736519,0.014963934,0.122327161
2015,"joule","greg",20,9,243.5,0.954825462,28,0.274076479,0.000177141,0.011442749,0.013309427,0.106970784,9,9,189,1,21,1,0,0,0,0,0.274076479,0.011442749,0.106970784
2015,"paurotis_pond","greg",71,58,1062,0.987758945,28,0.708316242,1.13853e-05,0.004590012,0.003374214,0.067749627,58,56,1172.5,0.998294243,21,0.964783571,1.45232e-06,0.000598197,0.001205123,0.024458063,0.683371874,0.004575285,0.067640853
2015,"paurotis_pond","rosp",2,2,27,1,22,1,0,0,0,0,2,2,42,1,21,1,0,0,0,0,1,0,0
2015,"rookery_branch","greg",28,23,427.5,0.988304094,28,0.719344021,2.70389e-05,0.011230433,0.00519989,0.105973739,23,22,315,0.996825397,21,0.935407785,1.00461e-05,0.003901219,0.00316956,0.06245974,0.672879997,0.011889012,0.109036747
2015,"rookery_branch","smhe",8,8,163,1,22,1,0,0,0,0,8,8,112,1,14,1,0,0,0,0,1,0,0
2015,"tamiami_west","bcnh",24,14,313.5,0.968102073,28,0.40345231,9.85022e-05,0.01341233,0.009924829,0.115811615,15,13,276,0.992753623,21,0.858363211,2.60647e-05,0.008593125,0.005105363,0.09269911,0.346308621,0.011396025,0.106752167
2015,"tamiami_west","greg",22,21,478,0.99790795,28,0.943047369,4.36752e-06,0.003057995,0.002089861,0.055299143,22,22,456,1,21,1,0,0,0,0,0.943047369,0.003057995,0.055299143
2015,"tamiami_west","smhe",35,31,422,0.990521327,22,0.810969046,2.22484e-05,0.007218138,0.004716822,0.084959625,33,31,450.5,0.995560488,14,0.939608915,9.81088e-06,0.001712865,0.003132233,0.041386771,0.761993746,0.007511506,0.086668942
2015,"tamiami_west","whib",5,4,58.5,0.982905983,21,0.696228105,0.00028721,0.063550355,0.016947285,0.252091957,4,2,43.5,0.954022989,14,0.517396822,0.001008348,0.058129452,0.031754491,0.241100501,0.360226209,0.048883841,0.221096903
2015,"tamiami_west","wost",6,2,81.5,0.950920245,28,0.244362537,0.000572649,0.029647358,0.023930096,0.172184081,2,1,71.5,0.986013986,50,0.494485726,0.000192873,0.121269718,0.013887865,0.34823802,0.120833787,0.018085969,0.134484083
2016,"6th_bridge","greg",27,18,492,0.981707317,28,0.596343903,3.65001e-05,0.010559416,0.006041533,0.10275902,18,17,374,0.997326203,21,0.945326477,7.13007e-06,0.002825022,0.00267022,0.053150934,0.563739681,0.010470821,0.102327031
2016,"6th_bridge","rosp",3,2,42,0.976190476,22,0.58851896,0.000553396,0.097349367,0.02352437,0.312008601,2,2,42,1,21,1,0,0,0,0,0.58851896,0.097349367,0.312008601
2016,"6th_bridge","smhe",4,2,47,0.957446809,22,0.384169098,0.00086686,0.067547587,0.029442485,0.259899187,1,1,26,1,14,1,0,0,0,0,0.384169098,0.067547587,0.259899187
2016,"6th_bridge","whib",25,14,182,0.93956044,21,0.270034448,0.000312014,0.011365855,0.017663929,0.106610765,15,15,208.5,1,14,1,0,0,0,0,0.270034448,0.011365855,0.106610765
2016,"alley_north","greg",24,11,299,0.956521739,28,0.288041892,0.00013909,0.00988857,0.011793641,0.09944129,11,11,222,1,21,1,0,0,0,0,0.288041892,0.00988857,0.09944129
2016,"alley_north","smhe",5,1,30.5,0.868852459,22,0.045374595,0.003735996,0.00493157,0.061122791,0.070225135,1,1,14,1,14,1,0,0,0,0,0.045374595,0.00493157,0.070225135
2016,"alley_north","whib",7,5,73.5,0.972789116,21,0.560264051,0.000360142,0.052681814,0.018977413,0.229525192,6,6,72,1,14,1,0,0,0,0,0.560264051,0.052681814,0.229525192
2016,"cuthbert_lake","greg",44,44,480,1,28,1,0,0,0,0,46,44,943.5,0.997880233,21,0.956415965,2.24194e-06,0.000908239,0.001497312,0.030136998,0.956415965,0.000908239,0.030136998
2016,"paurotis_pond","greg",12,12,103,1,28,1,0,0,0,0,19,19,376,1,21,1,0,0,0,0,1,0,0
2016,"paurotis_pond","smhe",22,21,234.5,0.995735608,22,0.910267072,1.81075e-05,0.007324084,0.00425529,0.08558086,21,18,268.5,0.988826816,14,0.854443392,4.11484e-05,0.006021922,0.006414702,0.077601042,0.777771684,0.010380905,0.101886728
2016,"paurotis_pond","whib",12,10,188.5,0.98938992,21,0.799313437,5.56897e-05,0.016029229,0.007462552,0.12660659,9,9,102.5,1,14,1,0,0,0,0,0.799313437,0.016029229,0.12660659
2016,"tamiami_west","greg",36,16,504,0.96031746,28,0.321821538,7.56108e-05,0.006657334,0.008695446,0.08159249,11,10,194.5,0.994858612,21,0.897405315,2.6298e-05,0.009436594,0.005128154,0.097142135,0.288804359,0.006401555,0.08000972
2016,"tamiami_west","smhe",19,10,240.5,0.962577963,22,0.432105826,0.000149778,0.014608379,0.012238386,0.120865129,10,8,135.5,0.985239852,14,0.812059005,0.000107323,0.014290278,0.010359688,0.119541951,0.350895428,0.012510321,0.111849545
2018,"6th_bridge","bcnh",2,2,29.5,1,28,1,0,0,0,0,2,2,42,1,21,1,0,0,0,0,1,0,0
2018,"6th_bridge","glib",57,40,735.5,0.976886472,21,0.611964182,3.06992e-05,0.005312881,0.00554069,0.072889511,42,22,436.5,0.954180985,14,0.518597726,0.00010016,0.005798932,0.010007973,0.07615072,0.317363233,0.003631375,0.060260894
2018,"6th_bridge","greg",30,27,297.5,0.989915966,28,0.752927594,3.35541e-05,0.015218487,0.00579259,0.123363232,28,21,524,0.986641221,21,0.753953182,2.51533e-05,0.006477442,0.005015305,0.080482559,0.567672155,0.012421518,0.111451862
2018,"6th_bridge","rosp",21,17,206,0.980582524,22,0.649607873,9.24293e-05,0.01963312,0.009614016,0.140118236,15,12,275,0.989090909,21,0.794255835,3.92367e-05,0.011157813,0.006263918,0.105630549,0.515954844,0.017312956,0.131578705
2018,"6th_bridge","smhe",74,58,1124.5,0.985771454,22,0.729587238,1.24732e-05,0.003306927,0.003531739,0.057505889,59,49,756.5,0.986781229,14,0.830027184,1.72426e-05,0.002391123,0.004152422,0.048899113,0.605577241,0.003558988,0.059657252
2018,"6th_bridge","whib",2,0,24.5,0.918367347,21,0.167241906,0.00305995,0.044751768,0.05531681,0.211546137,,,,,14,,,,,,0,0,0
2018,"henry","bcnh",50,47,676.5,0.99556541,28,0.882987134,6.52613e-06,0.004024766,0.002554628,0.063441046,48,45,980,0.996938776,21,0.937644582,3.11414e-06,0.001214831,0.001764692,0.034854419,0.827928102,0.004490535,0.067011456
2018,"henry","greg",59,58,957.5,0.998955614,28,0.971165773,1.0896e-06,0.000807382,0.001043841,0.028414467,58,56,1199.5,0.998332639,21,0.965563111,1.38773e-06,0.000572472,0.001178019,0.023926384,0.937721846,0.001293128,0.035960095
2018,"henry","trhe",1,1,21,1,22,1,0,0,0,0,1,,6,,14,,,,,,0,,
2018,"jetport_south","wost",79,64,1251.5,0.988014383,28,0.713463022,9.46222e-06,0.003868346,0.003076071,0.062196027,72,58,3113,0.99550273,50,0.798220317,1.43818e-06,0.002311601,0.00119924,0.048079114,0.56950068,0.003650354,0.060418157
2018,"joule","greg",46,44,630,0.996825397,28,0.914817871,5.02306e-06,0.003316768,0.002241217,0.057591392,45,45,945,1,21,1,0,0,0,0,0.914817871,0.003316768,0.057591392
2018,"tamiami_west","bcnh",43,39,660.5,0.993943982,28,0.843593913,9.11331e-06,0.005146777,0.003018826,0.071741043,39,35,788.5,0.994927077,21,0.898703132,6.401e-06,0.002303225,0.00253002,0.047991931,0.758140492,0.00580783,0.07620912
2018,"tamiami_west","greg",25,24,344.5,0.997097242,28,0.921829122,8.40154e-06,0.005629903,0.002898542,0.075032682,25,24,510,0.998039216,21,0.959620973,3.83714e-06,0.001564408,0.001958861,0.039552601,0.884606559,0.006522616,0.080762712
2018,"tamiami_west","rosp",1,1,1,1,22,1,0,0,0,0,1,0,2.5,0.6,21,2.1937e-05,0.096,5.65926e-08,0.309838668,0.000237892,2.1937e-05,5.65926e-08,0.000237892
2018,"tamiami_west","smhe",11,8,94.5,0.968253968,22,0.491772549,0.000325272,0.040610869,0.018035304,0.201521385,8,4,85.5,0.953216374,14,0.511306032,0.000521578,0.029414006,0.022838082,0.171505118,0.25144627,0.018925075,0.137568436
2018,"tamiami_west","whib",56,45,716,0.984636872,21,0.722433686,2.11272e-05,0.005015626,0.004596438,0.070821082,48,32,611,0.973813421,14,0.689700557,4.17362e-05,0.004103354,0.006460359,0.064057431,0.498262916,0.004548032,0.067439095
2018,"vacation","bcnh",2,0,15,0.866666667,28,0.018191085,0.007703704,0.002660901,0.087770745,0.051583919,,,,,,,,,,,,,
2018,"vacation","greg",46,33,790,0.983544304,28,0.62839102,2.04872e-05,0.006556488,0.004526281,0.080972141,33,29,645,0.99379845,21,0.877535334,9.55518e-06,0.003285565,0.003091145,0.057319848,0.551435324,0.006367873,0.079798955
2019,"alley_north","whib",150,65,1294,0.93431221,21,0.240067028,4.74288e-05,0.001380899,0.006886859,0.037160452,62,49,767,0.983050847,14,0.787161323,2.17234e-05,0.002729985,0.004660841,0.052249255,0.188971479,0.001012972,0.031827218
2020,"6th_bridge","bcnh",11,6,128.5,0.961089494,28,0.329144982,0.000291023,0.026760268,0.017059401,0.163585659,6,4,105,0.980952381,21,0.667738532,0.000177951,0.036362601,0.013339811,0.190689803,0.219782787,0.016844195,0.129785186
2020,"6th_bridge","greg",4,4,56,1,28,1,0,0,0,0,4,4,84,1,21,1,0,0,0,0,1,0,0
2020,"6th_bridge","rosp",16,16,119,1,22,1,0,0,0,0,16,16,420,1,21,1,0,0,0,0,1,0,0
2020,"6th_bridge","smhe",101,92,1716,0.994755245,22,0.890752864,3.04035e-06,0.001179917,0.001743661,0.034349922,92,82,1226.5,0.991846718,14,0.891710438,6.5934e-06,0.001044538,0.002567762,0.032319308,0.794293626,0.001768219,0.0420502
2020,"6th_bridge","whib",75,62,1257,0.989657916,21,0.803872471,8.1425e-06,0.002369194,0.002853507,0.048674365,58,53,806,0.993796526,14,0.916567893,7.64887e-06,0.001275228,0.002765659,0.035710333,0.736803696,0.002817439,0.053079557
2020,"henry","greg",22,20,271.5,0.992633517,28,0.812999347,2.69327e-05,0.014164389,0.005189669,0.119014239,20,19,420,0.997619048,21,0.951172715,5.65544e-06,0.002267222,0.002378116,0.047615354,0.773302796,0.014345616,0.119773186
2020,"henry","rosp",15,13,200,0.99,22,0.80163059,4.95e-05,0.015708284,0.007035624,0.125332692,13,12,269.5,0.996289425,21,0.924902452,1.37173e-05,0.005213476,0.003703685,0.072204405,0.741430098,0.016869701,0.129883411
2020,"jerrod","greg",44,36,913,0.991237678,28,0.781589015,9.51319e-06,0.004637069,0.003084346,0.06809603,35,34,735,0.998639456,21,0.971813969,1.84856e-06,0.000772007,0.001359618,0.027785021,0.759559123,0.004854537,0.069674507
2020,"joule","greg",48,39,817,0.988984088,28,0.733331801,1.33348e-05,0.005748125,0.00365169,0.075816389,35,32,695.5,0.995686556,21,0.913220205,6.17518e-06,0.002290836,0.002484991,0.047862676,0.669693418,0.006038894,0.077710319
2020,"start_mel","greg",36,32,636,0.993710692,28,0.838067412,9.82666e-06,0.005479738,0.00313475,0.07402525,32,32,672,1,21,1,0,0,0,0,0.838067412,0.005479738,0.07402525
2020,"tamiami_west","bcnh",17,13,208,0.980769231,28,0.58059235,9.06776e-05,0.024912951,0.00952248,0.157838369,13,10,239.5,0.987473904,21,0.767428942,5.16459e-05,0.013756233,0.007186508,0.117286969,0.445563373,0.019652174,0.140186213
2020,"tamiami_west","greg",24,20,384.5,0.989596879,28,0.746161566,2.67748e-05,0.011934131,0.005174434,0.109243448,19,18,398.5,0.99749059,21,0.948604002,6.28134e-06,0.002505204,0.00250626,0.050052009,0.707811847,0.01216361,0.110288756
2020,"tamiami_west","rosp",2,1,21.5,0.953488372,22,0.35070247,0.002062711,0.135061227,0.045417083,0.367506771,1,1,21,1,21,1,0,0,0,0,0.35070247,0.135061227,0.367506771
2020,"tamiami_west","smhe",15,13,211.5,0.990543735,22,0.81137276,4.42877e-05,0.014382083,0.006654899,0.119925324,12,11,156.5,0.993610224,14,0.914165276,4.05684e-05,0.006730708,0.006369329,0.082040895,0.741728803,0.016546881,0.12863468
2020,"tamiami_west","whib",108,59,1382.5,0.964556962,21,0.468689777,2.47283e-05,0.002574824,0.004972752,0.050742719,59,44,711.5,0.978917779,14,0.742073681,2.9006e-05,0.003266972,0.005385721,0.057157428,0.347802348,0.002143955,0.046302857
2020,"tamiami_west","wost",41,37,822.5,0.995136778,28,0.872404224,5.88398e-06,0.003545333,0.002425691,0.059542696,37,18,1534.5,0.987618117,50,0.536355078,7.96909e-06,0.005875916,0.002822958,0.076654523,0.467918436,0.005512838,0.074248486
2020,"vacation","greg",27,26,578,0.998269896,28,0.952671762,2.98808e-06,0.002133531,0.001728607,0.046190163,27,27,1199.5,1,21,1,0,0,0,0,0.952671762,0.002133531,0.046190163
2021,"6th_bridge","greg",32,22,639.5,0.984362783,28,0.643198759,2.40699e-05,0.008056941,0.004906107,0.089760464,21,18,424,0.992924528,21,0.861471718,1.65694e-05,0.005500396,0.004070548,0.074164653,0.55409754,0.008299182,0.091099844
2021,"6th_bridge","rosp",10,10,175,1,22,1,0,0,0,0,9,9,189,1,21,1,0,0,0,0,1,0,0
2021,"alley_north","greg",21,10,239.5,0.954070981,28,0.268076797,0.000182963,0.011324929,0.013526367,0.106418649,10,9,199.5,0.994987469,21,0.899849402,2.49995e-05,0.009017265,0.004999953,0.094959282,0.241228746,0.00992027,0.099600551
2021,"alley_north","rosp",3,3,20.5,1,22,1,0,0,0,0,4,4,84,1,21,1,0,0,0,0,1,0,0
