"year","colony","nest_number","species","n_days_incubation","incubation_success","n_days_nestling","nestling_success","clutch","brood","fledged","clutch_type","young_lost"
2024,"alley_north","126","gbhe",3,0,0,0,2,,,,
2024,"alley_north","127","greg",12,0,0,0,2,,,,
2024,"alley_north","135","greg",28,0,,0,2,,,,
2024,"alley_north","137","greg",24,0,0,0,2,,,,
2024,"alley_north","137*","greg",18,0,0,0,3,,,,
2024,"alley_north","181","greg",18,0,0,0,3,,,,
2024,"alley_north","181*","greg",17,0,0,0,3,,,,
2024,"alley_north","199","greg",2,0,0,0,1,,,,
2024,"alley_north","199*","greg",17,0,0,0,2,,,,
2024,"alley_north","201","trhe",22,1,23,0,3,3,0,,3
2024,"alley_north","205","greg",2,0,0,0,1,,,,
2024,"alley_north","209","greg",28,0,,0,2,,,,
2024,"alley_north","247","greg",28,1,20,1,3,3,3,,0
2024,"alley_north","249","greg",28,1,19,1,3,2,2,,1
2024,"alley_north","251","trhe",22,1,20,1,3,3,3,,0
2024,"alley_north","253","bcnh",28,1,13,0,3,2,0,,3
2024,"alley_north","255","trhe",22,1,17,1,3,3,3,,0
2024,"alley_north","257","trhe",22,1,9,1,4,2,2,,2
2024,"alley_north","259","smhe",22,0,,0,3,,,,
2024,"alley_north","263","greg",18,0,0,0,3,,,,
2024,"alley_north","265","smhe",18,0,0,0,3,,,,
2024,"alley_north","267","smhe",19,0,0,0,4,,,,
2024,"alley_north","269","smhe",19,0,0,0,4,,,,
2024,"alley_north","271","smhe",18,0,0,0,3,,,,
2024,"alley_north","404","greg",10,0,0,0,3,,,,
2024,"alley_north","406","glib",10,0,0,0,3,,,,
2024,"alley_north","408","glib",4,0,0,0,3,,,,
2024,"alley_north","410","whib",9,0,0,0,2,,,,
2024,"alley_north","412","smhe",10,0,0,0,3,,,,
2024,"alley_north","414","smhe",10,0,0,0,3,,,,
2024,"alley_north","416","glib",10,0,0,0,3,,,,
2024,"alley_north","418","glib",21,1,6,1,3,3,3,,0
2024,"alley_north","420","whib",4,0,0,0,3,,,,
2024,"alley_north","422","smhe",11,0,0,0,4,,,,
2024,"alley_north","424","glib",9,0,0,0,2,,,,
2024,"alley_north","426","smhe",9,0,0,0,3,,,,
2024,"alley_north","428","smhe",10,0,0,0,3,,,,
2024,"alley_north","430","smhe",9,0,0,0,3,,,,
2024,"alley_north","432","glib",10,0,0,0,3,,,,
2024,"alley_north","434","smhe",11,0,0,0,4,,,,
2024,"alley_north","436","smhe",11,0,0,0,4,,,,
2024,"alley_north","444","smhe",10,0,0,0,3,,,,
2024,"alley_north","446","smhe",10,0,0,0,3,,,,
2024,"alley_north","448","glib",10,0,0,0,3,,,,
2024,"alley_north","450","smhe",10,0,0,0,3,,,,
2024,"alley_north","452","smhe",11,0,0,0,4,,,,
2024,"alley_north","456","greg",9,0,0,0,2,,,,
2024,"alley_north","458","whib",3,0,0,0,2,,,,
2024,"alley_north","460","glib",2,0,0,0,1,,,,
2024,"alley_north","462","glib",2,0,0,0,1,,,,
2024,"alley_north","886","smhe",19,0,0,0,4,,,,
2024,"alley_north","888","smhe",19,0,0,0,4,,,,
2024,"alley_north","890","smhe",18,0,0,0,3,,,,
2024,"alley_north","892","smhe",2,0,0,0,1,,,,
2024,"alley_north","894","smhe",22,1,3,1,4,2,2,,2
2024,"alley_north","896","smhe",12,0,0,0,4,,,,
2024,"alley_north","898","smhe",18,0,0,0,4,,,,
2024,"alley_north","900","glib",10,0,0,0,3,,,,
2024,"alley_north","902","smhe",18,0,0,0,3,,,,
2024,"alley_north","904","trhe",22,1,6,1,3,3,3,,0
2024,"alley_north","906","smhe",19,0,0,0,4,,,,
2024,"alley_north","908","smhe",18,0,0,0,3,,,,
2024,"alley_north","910","bcnh",17,0,0,0,2,,,,
2024,"alley_north","912","smhe",18,0,0,0,3,,,,
2024,"alley_north","914","greg",17,0,0,0,2,,,,
2024,"alley_north","916","smhe",18,0,0,0,3,,,,
2024,"alley_north","918","smhe",18,0,0,0,3,,,,
2024,"alley_north","920","smhe",19,0,0,0,4,,,,
2024,"alley_north","922","greg",17,0,0,0,2,,,,
2024,"alley_north","924","smhe",18,0,0,0,3,,,,
2024,"alley_north","926","glib",3,0,0,0,2,,,,
2024,"alley_north","928","smhe",19,0,0,0,4,,,,
2024,"alley_north","930","smhe",18,0,0,0,3,,,,
2024,"alley_north","932","smhe",16,0,0,0,3,,,,
2024,"alley_north","934","smhe",18,0,0,0,3,,,,
2024,"alley_north","936","smhe",16,0,0,0,3,,,,
2024,"alley_north","938","smhe",18,0,0,0,4,,,,
2024,"alley_north","940","smhe",19,0,0,0,4,,,,
2024,"alley_north","942","whib",16,0,0,0,1,,,,
2024,"alley_north","944","whib",18,0,0,0,3,,,,
2024,"alley_north","946","smhe",17,0,0,0,4,,,,
2024,"alley_north","948","smhe",18,0,0,0,3,,,,
2024,"alley_north","950","smhe",19,0,0,0,4,,,,
2024,"alley_north","952","smhe",19,0,0,0,4,,,,
2024,"alley_north","956","smhe",18,0,0,0,4,,,,
2024,"alley_north","958","smhe",17,0,0,0,2,,,,
2024,"alley_north","960","smhe",18,0,0,0,3,,,,
2024,"alley_north","962","greg",2,0,0,0,1,,,,
2024,"alley_north","964","greg",17,0,0,0,2,,,,
2024,"alley_north","966","bcnh",19,0,0,0,4,,,,
2024,"alley_north","968","greg",17,0,0,0,2,,,,
2024,"alley_north","970","greg",11,0,0,0,2,,,,
2024,"alley_north","972","greg",3,0,0,0,2,,,,
2024,"alley_north","976","trhe",22,1,21,1,4,4,2,,2
2024,"alley_north","978","greg",28,1,19,1,2,2,2,,0
2024,"alley_north","980","greg",28,1,34,1,2,2,1,,1
2024,"alley_north","982","trhe",22,1,20,1,3,3,2,,1
2024,"alley_north","984","trhe",22,1,12,0,3,3,0,,3
2024,"alley_north","994","greg",9,0,0,0,2,,,,
2024,"alley_north","994*","rosp",12,0,0,0,3,,,,
2024,"alley_north","996","greg",3,0,0,0,2,,,,
2024,"alley_north","998","smhe",22,0,,0,3,,,,
2024,"hidden","1","greg",28,0,,0,3,,,,
2024,"hidden","10","greg",10,0,0,0,3,,,,
2024,"hidden","100","greg",28,1,33,0,2,2,0,,2
2024,"hidden","102","greg",28,1,20,0,2,2,0,,2
2024,"hidden","104","greg",10,0,0,0,3,,,,
2024,"hidden","106","greg",28,1,34,0,3,3,0,,3
2024,"hidden","108","greg",3,0,0,0,2,,,,
2024,"hidden","11","greg",10,0,0,0,3,,,,
2024,"hidden","112","greg",28,1,13,1,2,2,2,,0
2024,"hidden","114","greg",28,0,,0,3,,,,
2024,"hidden","116","greg",28,0,,0,3,,,,
2024,"hidden","118","greg",2,0,0,0,1,,,,
2024,"hidden","12","greg",10,0,0,0,3,,,,
2024,"hidden","120","greg",26,0,0,0,3,,,,
2024,"hidden","121","greg",28,0,,0,2,,,,
2024,"hidden","122","rosp",22,0,,0,4,,,,
2024,"hidden","123","greg",4,0,0,0,3,,,,
2024,"hidden","124","greg",28,1,43,1,3,3,0,,3
2024,"hidden","129","greg",28,1,2,1,3,2,2,,1
2024,"hidden","13","greg",9,0,0,0,2,,,,
2024,"hidden","131","rosp",12,0,0,0,2,,,,
2024,"hidden","133","greg",28,1,41,1,3,3,0,,3
2024,"hidden","14","greg",28,1,59,1,2,2,0,,2
2024,"hidden","15","greg",9,0,0,0,3,,,,
2024,"hidden","16","greg",28,1,34,1,3,3,1,,2
2024,"hidden","165","greg",28,1,26,0,2,1,0,,2
2024,"hidden","167","greg",16,0,0,0,3,,,,
2024,"hidden","169","greg",28,1,30,1,3,3,0,,3
2024,"hidden","17","greg",3,0,0,0,2,,,,
2024,"hidden","171","greg",28,1,36,1,2,2,0,,2
2024,"hidden","173","greg",28,1,5,1,2,2,2,,0
2024,"hidden","175","greg",28,1,50,1,3,3,0,,3
2024,"hidden","179","greg",28,1,57,1,3,3,0,,3
2024,"hidden","18","greg",28,1,3,1,2,2,2,,0
2024,"hidden","19","greg",8,0,0,0,3,,,,
2024,"hidden","2","greg",28,1,45,1,3,2,0,,3
2024,"hidden","20","greg",17,0,0,0,3,,,,
2024,"hidden","21","greg",28,1,37,1,3,3,1,,2
2024,"hidden","22","greg",17,0,0,0,3,,,,
2024,"hidden","23","rosp",9,0,0,0,1,,,,
2024,"hidden","239","greg",28,1,33,1,2,2,0,,2
2024,"hidden","24","greg",17,0,0,0,3,,,,
2024,"hidden","243","greg",28,1,17,0,3,3,0,,3
2024,"hidden","25","greg",28,1,5,1,2,2,2,,0
2024,"hidden","26","greg",16,0,0,0,3,,,,
2024,"hidden","27","greg",28,1,9,1,3,1,1,,2
2024,"hidden","28","greg",28,1,40,1,3,3,0,,3
2024,"hidden","29","greg",10,0,0,0,2,,,,
2024,"hidden","3","greg",3,0,0,0,2,,,,
2024,"hidden","30","greg",28,1,64,1,2,2,0,,2
2024,"hidden","31","greg",10,0,0,0,2,,,,
2024,"hidden","32","greg",28,1,39,1,3,3,0,,3
2024,"hidden","33","rosp",11,0,0,0,3,,,,
2024,"hidden","34","greg",28,1,40,1,4,2,1,,3
2024,"hidden","35","rosp",22,1,9,1,3,3,3,,0
2024,"hidden","36","greg",4,0,0,0,3,,,,
2024,"hidden","38","greg",24,0,0,0,3,,,,
2024,"hidden","4","greg",28,0,,0,2,,,,
2024,"hidden","40","greg",28,1,50,1,3,2,0,,3
2024,"hidden","402","bcnh",16,0,0,0,3,,,,
2024,"hidden","42","greg",23,0,0,0,2,,,,
2024,"hidden","44","greg",28,1,17,1,3,3,2,,1
2024,"hidden","46","greg",18,0,0,0,3,,,,
2024,"hidden","48","greg",28,1,43,0,3,1,0,,3
2024,"hidden","5","rosp",16,0,0,0,4,,,,
2024,"hidden","50","greg",28,1,12,1,2,2,2,,0
2024,"hidden","52","greg",28,1,33,1,2,2,1,,1
2024,"hidden","54","greg",28,1,40,1,2,2,0,,2
2024,"hidden","56","greg",28,1,45,1,2,2,0,,2
2024,"hidden","6","greg",2,0,0,0,1,,,,
2024,"hidden","7","greg",26,0,0,0,3,,,,
2024,"hidden","72","greg",14,0,0,0,2,,,,
2024,"hidden","74","greg",4,0,0,0,3,,,,
2024,"hidden","76","greg",28,1,26,0,4,1,0,,4
2024,"hidden","78","greg",28,1,40,1,3,3,2,,1
2024,"hidden","8","greg",28,1,51,1,3,1,0,,3
2024,"hidden","9","greg",28,1,51,1,4,3,0,,4
2024,"hidden","90","greg",28,1,33,0,3,3,0,,3
2024,"hidden","92","greg",4,0,0,0,3,,,,
2024,"hidden","94","greg",3,0,0,0,2,,,,
2024,"hidden","96","greg",28,1,33,1,2,2,0,,2
2024,"hidden","98","greg",28,1,31,0,3,3,0,,3
2024,"little_a","139","greg",15,0,0,0,2,,,,
2024,"little_a","141","greg",16,0,0,0,2,,,,
2024,"little_a","143","greg",28,1,33,1,2,2,1,,1
2024,"little_a","145","greg",28,1,34,1,2,2,1,,1
2024,"little_a","147","greg",28,1,25,1,2,2,2,,0
2024,"little_a","149","greg",28,1,26,1,3,3,2,,1
2024,"little_a","151","greg",16,0,0,0,2,,,,
2024,"little_a","153","greg",28,1,23,1,3,3,2,,1
2024,"little_a","155","greg",3,0,0,0,2,,,,
2024,"little_a","157","greg",2,0,0,0,1,,,,
2024,"little_a","159","greg",28,1,28,1,3,3,2,,1
2024,"little_a","161","greg",28,1,5,0,3,2,0,,3
2024,"little_a","163","greg",28,1,6,0,3,3,0,,3
2024,"little_a","185","greg",28,0,,0,2,,,,
2024,"little_a","187","greg",28,1,18,1,3,3,2,,1
2024,"little_a","189","greg",28,1,24,1,2,2,2,,0
2024,"little_a","191","greg",28,1,12,1,2,2,2,,0
2024,"little_a","193","greg",28,1,27,1,2,2,2,,0
2024,"little_a","195","greg",4,0,0,0,3,,,,
2024,"little_a","197","greg",15,0,0,0,3,,,,
2024,"little_a","221","greg",28,1,5,0,2,2,0,,2
2024,"little_a","223","greg",28,1,28,1,3,3,3,,0
2024,"little_a","225","greg",28,1,27,1,2,2,2,,0
2024,"little_a","227","greg",3,0,0,0,2,,,,
2024,"little_a","231","greg",28,1,25,1,2,2,2,,0
2024,"little_a","233","greg",28,1,34,1,3,3,1,,2
2024,"little_a","235","greg",3,0,0,0,2,,,,
2024,"little_a","237","greg",4,0,0,0,3,,,,
2024,"little_a","974","greg",24,0,0,0,2,,,,
2024,"little_a","981","greg",28,1,5,0,3,2,0,,3
2024,"little_a","983","greg",28,1,33,1,3,3,1,,2
2024,"little_a","985","greg",28,1,17,0,3,3,0,,3
2024,"little_a","986","greg",28,1,27,1,3,3,2,,1
2024,"little_a","987","greg",2,0,0,0,1,,,,
2024,"little_a","988","greg",28,1,35,1,3,3,1,,2
2024,"little_a","989","greg",28,1,25,1,2,2,2,,0
2024,"little_a","990","greg",28,1,33,1,2,2,1,,1
2024,"little_a","991","greg",28,1,28,1,3,3,2,,1
2024,"little_a","992","greg",28,1,33,1,2,2,2,,0
2024,"little_a","993","greg",28,1,27,1,2,2,2,,0
2024,"little_a","995","greg",28,1,13,0,2,2,0,,2
2024,"little_a","997","greg",28,1,27,1,2,2,2,,0
2024,"little_a","999","greg",16,0,0,0,2,0,0,,2
2024,"vacation","600","greg",28,1,36,0,2,2,0,,2
2024,"vacation","601","greg",28,1,26,0,3,3,0,,3
2024,"vacation","602","greg",28,1,42,1,2,2,1,,1
2024,"vacation","603","greg",28,1,43,1,3,3,1,,2
2024,"vacation","604","greg",28,1,28,1,3,3,2,,1
2024,"vacation","605","greg",28,1,29,0,3,3,0,,3
2024,"vacation","606","greg",28,1,29,0,3,3,0,,3
2024,"vacation","607","greg",28,1,20,0,2,2,0,,2
2024,"vacation","608","greg",28,1,28,1,3,3,2,,1
2024,"vacation","609","greg",26,0,0,0,2,0,0,,2
2024,"vacation","610","greg",28,1,21,0,2,2,0,,2
2024,"vacation","611","greg",28,1,14,0,3,3,0,,3
2024,"vacation","612","greg",28,1,11,0,3,3,0,,3
2024,"vacation","613","greg",28,1,21,1,2,2,0,,2
2024,"vacation","614","greg",28,1,35,1,1,1,0,,1
2024,"vacation","615","greg",28,1,34,0,2,2,0,,2
2024,"vacation","616","greg",28,1,18,0,3,1,0,,3
2024,"vacation","617","greg",28,1,9,0,3,2,0,,3
2024,"vacation","618","greg",28,1,20,0,3,3,0,,3
2024,"vacation","619","greg",28,1,28,0,2,2,0,,2
2024,"vacation","620","greg",28,1,37,0,3,3,0,,3
2024,"vacation","621","greg",28,1,35,0,3,3,0,,3
2024,"vacation","622","greg",28,1,26,0,2,2,0,,2
2024,"vacation","623","greg",28,1,17,0,2,1,0,,2
2024,"vacation","624","greg",28,1,31,0,3,3,0,,3
2024,"vacation","625","greg",28,1,43,0,3,3,0,,3
2024,"vacation","626","greg",28,1,26,0,2,2,0,,2
2024,"vacation","627","greg",28,1,43,1,3,3,1,,2
2024,"vacation","628","greg",28,1,19,0,2,2,0,,2
2024,"vacation","629","greg",28,1,25,0,2,2,0,,2
2024,"vacation","630","greg",28,1,43,1,3,3,1,,2
2024,"vacation","631","greg",28,1,40,1,3,3,1,,2
2024,"vacation","632","greg",28,1,41,1,3,3,1,,2
2024,"vacation","633","greg",28,1,40,0,2,2,0,,2
2024,"vacation","634","greg",28,1,40,0,3,3,0,,3
2024,"vacation","635","greg",28,1,33,1,2,2,1,,1
2024,"vacation","636","greg",28,1,33,0,3,3,0,,3
2024,"vacation","637","greg",28,1,40,0,3,3,0,,3
2024,"vacation","638","greg",28,1,34,0,2,2,0,,2
2024,"vacation","734","greg",28,1,29,0,3,3,0,,3
2024,"vacation","735","greg",28,1,20,0,2,2,0,,2
2024,"vacation","736","greg",28,1,28,0,2,2,0,,2
2024,"vacation","737","greg",28,1,5,0,2,2,0,,2
2024,"vacation","738","greg",28,1,29,0,3,3,0,,3
2024,"vacation","739","greg",28,1,26,0,2,2,0,,2
2024,"vacation","740","greg",28,1,36,0,2,2,0,,2
2024,"vacation","741","greg",28,1,29,0,3,3,0,,3
