subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
43845583,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545936.5546491148,2889214.4842384364,545952.410574744,2889230.340164066],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":42}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/22a32a04-2aaf-4898-8954-67c6bec48bed.png""}",0,,,2020-04-23 14:46:05 UTC,2020-04-23 14:46:05 UTC
43845585,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546063.4020541485,2889119.3486846616,546079.2579797776,2889135.204610291],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":43}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/7233d38c-656c-438d-aad9-cec68a69c4b0.png""}",0,,,2020-04-23 14:46:06 UTC,2020-04-23 14:46:06 UTC
43845587,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545952.4105747441,2889198.6283128075,545968.2665003733,2889214.484238437],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":44}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9049af6b-87d0-4c41-8997-12503e2e408c.png""}",0,,,2020-04-23 14:46:06 UTC,2020-04-23 14:46:06 UTC
43845589,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546063.4020541485,2889198.6283128075,546079.2579797776,2889214.484238437],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":45}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/170fd78c-dc7c-47d7-813f-95d8c6f03078.png""}",0,,,2020-04-23 14:46:07 UTC,2020-04-23 14:46:07 UTC
43845592,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545777.9953928229,2889198.6283128075,545793.8618890692,2889214.484238437],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":46}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/5259585a-6207-45e1-9467-1295ea324a4d.png""}",0,,,2020-04-23 14:46:08 UTC,2020-04-23 14:46:08 UTC
43845593,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545762.1394671937,2889309.619792212,545777.9953928229,2889325.475717841],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":47}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/1e919d16-2559-4811-866d-dc2bbf3f9ce0.png""}",0,,,2020-04-23 14:46:08 UTC,2020-04-23 14:46:08 UTC
43845596,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546015.8342772608,2889166.916461549,546031.69020289,2889182.772387178],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":48}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dbb0cdf3-851b-4aca-b76f-d307a3363911.png""}",0,,,2020-04-23 14:46:09 UTC,2020-04-23 14:46:09 UTC
43845598,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545873.1309465981,2889198.6283128075,545888.9868722273,2889214.484238437],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":49}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/992e0ead-995d-4416-8807-31767d70fe26.png""}",0,,,2020-04-23 14:46:10 UTC,2020-04-23 14:46:10 UTC
43845600,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545746.2835415645,2889008.357205257,545762.1394671936,2889024.213130886],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":50}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/1ab4f2b0-5ea4-484c-854d-1894aa9f9ed7.png""}",0,,,2020-04-23 14:46:10 UTC,2020-04-23 14:46:10 UTC
43845603,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545777.9953928229,2889420.611271616,545793.8618890692,2889436.4671972455],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":51}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/68cf3f3c-eda5-4ccd-9a12-a3b424408701.png""}",0,,,2020-04-23 14:46:11 UTC,2020-04-23 14:46:11 UTC
